condition,Effortlevel1,success_possibility1
low_prior,3,40
low_prior,3,50
low_prior,3,60
low_prior,3,40
low_prior,3,50
low_prior,3,60
low_prior,3,40
low_prior,3,50
low_prior,3,60
low_prior,3,40
low_prior,3,50
low_prior,3,60
low_prior,3,40
low_prior,3,50
low_prior,3,60
low_prior,3,40
low_prior,3,50
low_prior,3,60
high_prior,4,40
high_prior,4,50
high_prior,4,60
high_prior,4,40
high_prior,4,50
high_prior,4,60
high_prior,4,40
high_prior,4,50
high_prior,4,60
high_prior,4,40
high_prior,4,50
high_prior,4,60
high_prior,4,40
high_prior,4,50
high_prior,4,60
high_prior,4,40
high_prior,4,50
high_prior,4,60
no_prior,3,40
no_prior,3,40
no_prior,3,40
no_prior,4,40
no_prior,4,40
no_prior,4,40
no_prior,3,50
no_prior,3,50
no_prior,3,50
no_prior,4,50
no_prior,4,50
no_prior,4,50
no_prior,3,60
no_prior,3,60
no_prior,3,60
no_prior,4,60
no_prior,4,60
no_prior,4,60
